sep=,
DeviceTag:,Left_Wrist,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
StartTime:,2021-05-31 22:25:39.701 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 79880621, -44.93981170654297, 38.03062438964844, -160.40753173828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 79897288, -44.006099700927734, 39.27914810180664, -159.6317138671875, -4.997345924377441, -3.298741340637207, 6.276892185211182, -58.39060592651367, 93.73600006103516, 25.88157844543457, 
2, 79913955, -42.7714729309082, 40.480716705322266, -158.3697052001953, -4.860229015350342, -2.8565030097961426, 5.838315010070801, -74.59944152832031, 98.11740112304688, 33.77419662475586, 
3, 79930622, -42.201080322265625, 41.91030502319336, -157.38499450683594, -4.415419578552246, -2.5752007961273193, 5.3324503898620605, -96.42601776123047, 101.99723052978516, 44.85261535644531, 
4, 79947289, -42.532142639160156, 43.498165130615234, -156.5319061279297, -4.558330059051514, -2.9558279514312744, 5.380980014801025, -124.85871124267578, 103.75689697265625, 57.781734466552734, 
5, 79963956, -43.704803466796875, 45.18115234375, -155.8287353515625, -4.934263706207275, -3.1407856941223145, 5.319851398468018, -151.9720916748047, 104.85895538330078, 69.7615737915039, 
6, 79980623, -45.43295669555664, 47.09920883178711, -155.189453125, -5.3714094161987305, -3.2196950912475586, 4.606625080108643, -171.0354461669922, 108.22300720214844, 85.93741607666016, 
7, 79997290, -47.53438949584961, 49.30976867675781, -154.51077270507812, -6.5238189697265625, -3.7981457710266113, 4.636417865753174, -185.21038818359375, 106.33822631835938, 104.66522216796875, 
8, 80013957, -49.956146240234375, 51.621768951416016, -153.7609100341797, -7.641298770904541, -4.723728656768799, 4.875648021697998, -200.9130401611328, 96.56365966796875, 115.0840835571289, 
9, 80030624, -52.525787353515625, 53.896697998046875, -152.91009521484375, -8.539127349853516, -5.4729814529418945, 5.490063190460205, -209.94363403320312, 83.24104309082031, 121.22586059570312, 
10, 80047291, -54.792457580566406, 56.11875915527344, -151.69219970703125, -8.995962142944336, -5.829439163208008, 5.423314094543457, -208.084228515625, 66.60282897949219, 131.7685089111328, 
11, 80063958, -56.52275085449219, 58.32474899291992, -149.95645141601562, -9.162506103515625, -5.572540283203125, 4.731411933898926, -201.48085021972656, 49.42781448364258, 144.4828338623047, 
12, 80080625, -57.63787841796875, 60.602088928222656, -147.70559692382812, -9.291511535644531, -5.494677543640137, 3.542203426361084, -191.2963409423828, 36.56208038330078, 157.59371948242188, 
13, 80097292, -58.217342376708984, 62.957767486572266, -145.08984375, -9.721270561218262, -5.7588396072387695, 2.3158299922943115, -178.39276123046875, 28.473764419555664, 166.53851318359375, 
14, 80113959, -58.201908111572266, 65.34194946289062, -142.24632263183594, -10.206392288208008, -6.392419338226318, 1.7864675521850586, -154.86004638671875, 23.27332878112793, 170.03854370117188, 
15, 80130626, -57.424556732177734, 67.54531860351562, -139.2794189453125, -10.471834182739258, -8.070571899414062, 2.2042078971862793, -116.19530487060547, 16.753337860107422, 161.77684020996094, 
16, 80147293, -55.905418395996094, 69.38140106201172, -136.4972381591797, -10.325372695922852, -9.355493545532227, 2.9743618965148926, -61.777462005615234, 13.580748558044434, 143.11322021484375, 
17, 80163960, -53.736358642578125, 70.78982543945312, -134.1577606201172, -10.025504112243652, -9.474924087524414, 3.4909284114837646, 1.8600455522537231, 13.902902603149414, 120.51681518554688, 
18, 80180627, -51.20659637451172, 71.76957702636719, -132.35543823242188, -9.618292808532715, -8.240716934204102, 3.325554132461548, 53.830623626708984, 13.982101440429688, 96.91012573242188, 
19, 80197294, -48.822425842285156, 72.38065338134766, -131.07431030273438, -9.400822639465332, -6.324151992797852, 3.000908374786377, 74.7181167602539, 12.418120384216309, 74.82382202148438, 
20, 80213961, -46.93746566772461, 72.66333770751953, -130.1449737548828, -9.347088813781738, -4.760345935821533, 2.814810037612915, 64.65227508544922, 6.599575042724609, 54.80960464477539, 
21, 80230628, -45.79567337036133, 72.63754272460938, -129.48182678222656, -9.375198364257812, -3.681887626647949, 2.8325235843658447, 34.97468948364258, -1.9243439435958862, 35.88095474243164, 
22, 80247295, -45.32175827026367, 72.36365509033203, -128.84283447265625, -9.593851089477539, -2.926901340484619, 2.8041586875915527, -4.092182636260986, -12.266866683959961, 22.324338912963867, 
23, 80263962, -45.290225982666016, 71.93904876708984, -128.01446533203125, -9.613604545593262, -2.55637264251709, 2.6874032020568848, -41.80644989013672, -21.892982482910156, 15.563231468200684, 
24, 80280629, -45.38138961791992, 71.43335723876953, -126.81339263916016, -9.589184761047363, -2.4130022525787354, 2.6669468879699707, -70.6255874633789, -31.43272590637207, 14.496016502380371, 
25, 80297296, -45.440216064453125, 70.88959503173828, -125.2265853881836, -9.207694053649902, -2.693976402282715, 2.4407575130462646, -90.66194152832031, -39.673885345458984, 16.049819946289062, 
26, 80313963, -45.47863006591797, 70.36048126220703, -123.42169952392578, -8.6922025680542, -2.9805374145507812, 2.041245460510254, -101.62476348876953, -43.67880630493164, 18.432279586791992, 
27, 80330630, -45.466651916503906, 69.9330062866211, -121.5691146850586, -8.55239486694336, -3.3674182891845703, 1.8658394813537598, -100.99591827392578, -41.70697784423828, 22.7039852142334, 
28, 80347297, -45.337242126464844, 69.5796890258789, -119.83330535888672, -8.42092227935791, -3.8748464584350586, 1.9302773475646973, -87.06192016601562, -38.28304672241211, 23.751708984375, 
29, 80363964, -45.086761474609375, 69.26599884033203, -118.44477081298828, -8.269365310668945, -3.9222655296325684, 2.267742872238159, -59.99114990234375, -32.452728271484375, 20.222082138061523, 
30, 80380631, -44.7568244934082, 68.9998550415039, -117.4277114868164, -8.327876091003418, -3.268855094909668, 2.441843032836914, -34.24216842651367, -25.36894989013672, 16.54293441772461, 
31, 80397298, -44.40629196166992, 68.7983627319336, -116.65027618408203, -8.558791160583496, -2.694406032562256, 2.5649476051330566, -19.637285232543945, -19.23981285095215, 15.092534065246582, 
32, 80413965, -44.01517105102539, 68.64311981201172, -115.9622802734375, -8.727409362792969, -2.5351037979125977, 2.684579849243164, -12.364935874938965, -16.032337188720703, 14.846858978271484, 
33, 80430632, -43.62207794189453, 68.52188873291016, -115.37255096435547, -8.80431079864502, -2.5779380798339844, 2.5861215591430664, -6.951930522918701, -13.125651359558105, 13.922750473022461, 
34, 80447299, -43.18199157714844, 68.42449951171875, -114.83838653564453, -8.938774108886719, -2.376307487487793, 2.507587194442749, -1.193060040473938, -11.32485294342041, 13.325878143310547, 
