PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0,79880621,-44.93981171,38.03062439,-160.4075317,0,0,0,0,0,0, 
1,79897288,-44.0060997,39.2791481,-159.6317139,-4.997345924,-3.298741341,6.276892185,-58.39060593,93.73600006,25.88157845, 
2,79913955,-42.77147293,40.48071671,-158.3697052,-4.860229015,-2.85650301,5.83831501,-74.59944153,98.11740112,33.77419662, 
3,79930622,-42.20108032,41.91030502,-157.3849945,-4.415419579,-2.575200796,5.33245039,-96.42601776,101.9972305,44.85261536, 
4,79947289,-42.53214264,43.49816513,-156.5319061,-4.558330059,-2.955827951,5.380980015,-124.8587112,103.756897,57.78173447, 
5,79963956,-43.70480347,45.18115234,-155.8287354,-4.934263706,-3.140785694,5.319851398,-151.9720917,104.8589554,69.76157379, 
6,79980623,-45.4329567,47.09920883,-155.1894531,-5.371409416,-3.219695091,4.60662508,-171.0354462,108.2230072,85.93741608, 
7,79997290,-47.5343895,49.30976868,-154.5107727,-6.52381897,-3.798145771,4.636417866,-185.2103882,106.3382263,104.6652222, 
8,80013957,-49.95614624,51.62176895,-153.76091,-7.641298771,-4.723728657,4.875648022,-200.9130402,96.56365967,115.0840836, 
9,80030624,-52.52578735,53.896698,-152.9100952,-8.53912735,-5.472981453,5.49006319,-209.943634,83.24104309,121.2258606, 
10,80047291,-54.79245758,56.11875916,-151.6921997,-8.995962143,-5.829439163,5.423314095,-208.0842285,66.60282898,131.7685089, 
11,80063958,-56.52275085,58.32474899,-149.9564514,-9.162506104,-5.572540283,4.731411934,-201.4808502,49.42781448,144.4828339, 
12,80080625,-57.63787842,60.60208893,-147.7055969,-9.291511536,-5.494677544,3.542203426,-191.2963409,36.56208038,157.5937195, 
13,80097292,-58.21734238,62.95776749,-145.0898438,-9.721270561,-5.758839607,2.315829992,-178.3927612,28.47376442,166.5385132, 
14,80113959,-58.20190811,65.34194946,-142.2463226,-10.20639229,-6.392419338,1.786467552,-154.8600464,23.27332878,170.0385437, 
15,80130626,-57.42455673,67.5453186,-139.2794189,-10.47183418,-8.070571899,2.204207897,-116.1953049,16.75333786,161.7768402, 
16,80147293,-55.9054184,69.38140106,-136.4972382,-10.3253727,-9.355493546,2.974361897,-61.77746201,13.58074856,143.1132202, 
17,80163960,-53.73635864,70.78982544,-134.1577606,-10.02550411,-9.474924088,3.490928411,1.860045552,13.9029026,120.5168152, 
18,80180627,-51.20659637,71.76957703,-132.3554382,-9.618292809,-8.240716934,3.325554132,53.83062363,13.98210144,96.91012573, 
19,80197294,-48.82242584,72.38065338,-131.0743103,-9.400822639,-6.324151993,3.000908375,74.71811676,12.41812038,74.82382202, 
20,80213961,-46.93746567,72.66333771,-130.1449738,-9.347088814,-4.760345936,2.814810038,64.65227509,6.599575043,54.80960464, 
21,80230628,-45.79567337,72.63754272,-129.4818268,-9.375198364,-3.681887627,2.832523584,34.97468948,-1.924343944,35.88095474, 
22,80247295,-45.32175827,72.36365509,-128.8428345,-9.593851089,-2.92690134,2.804158688,-4.092182636,-12.26686668,22.32433891, 
23,80263962,-45.29022598,71.93904877,-128.0144653,-9.613604546,-2.556372643,2.687403202,-41.80644989,-21.89298248,15.56323147, 
24,80280629,-45.38138962,71.43335724,-126.8133926,-9.589184761,-2.413002253,2.666946888,-70.62558746,-31.43272591,14.4960165, 
25,80297296,-45.44021606,70.88959503,-125.2265854,-9.207694054,-2.693976402,2.440757513,-90.66194153,-39.67388535,16.04981995, 
26,80313963,-45.47863007,70.36048126,-123.4216995,-8.692202568,-2.980537415,2.041245461,-101.6247635,-43.6788063,18.43227959, 
27,80330630,-45.46665192,69.93300629,-121.5691147,-8.552394867,-3.367418289,1.865839481,-100.9959183,-41.70697784,22.70398521, 
28,80347297,-45.33724213,69.57968903,-119.8333054,-8.420922279,-3.874846458,1.930277348,-87.06192017,-38.28304672,23.75170898, 
29,80363964,-45.08676147,69.26599884,-118.4447708,-8.269365311,-3.92226553,2.267742872,-59.9911499,-32.45272827,20.22208214, 
30,80380631,-44.75682449,68.99985504,-117.4277115,-8.327876091,-3.268855095,2.441843033,-34.24216843,-25.36894989,16.54293442, 
31,80397298,-44.40629196,68.79836273,-116.6502762,-8.558791161,-2.694406033,2.564947605,-19.63728523,-19.23981285,15.09253407, 
32,80413965,-44.01517105,68.64311981,-115.9622803,-8.727409363,-2.535103798,2.684579849,-12.36493587,-16.03233719,14.84685898, 
33,80430632,-43.62207794,68.52188873,-115.372551,-8.804310799,-2.57793808,2.586121559,-6.951930523,-13.12565136,13.92275047, 
34,80447299,-43.18199158,68.42449951,-114.8383865,-8.938774109,-2.376307487,2.507587194,-1.19306004,-11.32485294,13.32587814, 
35,80463966,-42.67468643,68.3629303,-114.2769241,-8.903966904,-2.074125528,2.437521458,1.152726412,-10.26151562,14.53911495, 
36,80480633,-42.11768723,68.33823395,-113.6212463,-8.916130066,-1.88591814,2.436747551,-1.289978743,-10.1124382,16.87417984, 
37,80497300,-41.54382324,68.34414673,-112.8592453,-8.958849907,-1.78516531,2.408480167,-6.380884647,-10.35278034,19.18143654, 
38,80513967,-40.9294548,68.36917877,-111.9786453,-8.997375488,-1.848158002,2.480581045,-10.7278738,-11.21802521,21.30597687, 
39,80530634,-40.32990265,68.41197968,-111.0533142,-8.950450897,-2.101316929,2.364685059,-14.25993061,-10.98403168,22.24726868, 
40,80547301,-39.78684235,68.46977997,-110.1680908,-9.128700256,-2.335361481,2.352118731,-15.52067947,-9.667110443,21.77723312, 
41,80563968,-39.25667953,68.52790833,-109.3369827,-9.287614822,-2.483518839,2.466731787,-13.35313129,-8.842172623,20.58989334, 
