sep=,
DeviceTag:,Right_Wrist,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
StartTime:,2021-05-31 22:25:39.714 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 1255215543, -21.087921142578125, 71.67870330810547, -150.51907348632812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 1255232210, -20.794828414916992, 71.60582733154297, -150.51223754882812, -8.874123573303223, -0.6796265244483948, 2.7683677673339844, 12.263809204101562, -0.7260187268257141, -17.096363067626953, 
2, 1255248877, -20.555086135864258, 71.5859375, -150.41717529296875, -8.873473167419434, -0.6139732003211975, 2.7617058753967285, 5.177547454833984, 0.6100381016731262, -22.477609634399414, 
3, 1255265544, -20.665386199951172, 71.5939712524414, -150.55502319335938, -8.834931373596191, -0.5182055830955505, 2.7975761890411377, -1.3030108213424683, 2.630488157272339, -26.364587783813477, 
4, 1255282211, -20.999645233154297, 71.61161804199219, -150.844482421875, -8.921975135803223, -0.5082520246505737, 2.8363146781921387, -4.977266311645508, 4.914534568786621, -28.234817504882812, 
5, 1255298878, -21.63312339782715, 71.62220764160156, -151.34178161621094, -8.999269485473633, -0.5337057113647461, 2.81662654876709, -9.409168243408203, 6.516964435577393, -30.414976119995117, 
6, 1255315545, -22.585073471069336, 71.62055969238281, -152.1087188720703, -9.107514381408691, -0.6135536432266235, 2.853754997253418, -13.162195205688477, 7.450582981109619, -32.92959213256836, 
7, 1255332212, -23.719789505004883, 71.6050033569336, -153.02728271484375, -9.23841381072998, -0.6276081204414368, 2.9490559101104736, -14.738604545593262, 8.05575180053711, -33.52262878417969, 
8, 1255348879, -24.88030242919922, 71.57000732421875, -153.9749298095703, -9.315173149108887, -0.6649872064590454, 3.0244174003601074, -14.924270629882812, 7.9765944480896, -32.75324249267578, 
9, 1255365546, -26.11391258239746, 71.5062484741211, -155.00486755371094, -9.287907600402832, -0.7842496633529663, 2.9522790908813477, -14.83854866027832, 8.038732528686523, -33.56637954711914, 
10, 1255382213, -27.421655654907227, 71.42072296142578, -156.12701416015625, -9.356492042541504, -0.9180244207382202, 2.915961503982544, -13.792585372924805, 8.166682243347168, -34.29207992553711, 
11, 1255398880, -28.745391845703125, 71.32423400878906, -157.31890869140625, -9.409066200256348, -1.1003813743591309, 2.840000867843628, -10.712396621704102, 8.521111488342285, -34.33106994628906, 
12, 1255415547, -30.033079147338867, 71.22402954101562, -158.53794860839844, -9.49202823638916, -1.1563314199447632, 2.849095582962036, -6.265688419342041, 8.807599067687988, -33.555484771728516, 
13, 1255432214, -31.191240310668945, 71.12252807617188, -159.67724609375, -9.486642837524414, -0.9685679078102112, 2.856375217437744, -3.1751797199249268, 8.16571044921875, -31.12325668334961, 
14, 1255448881, -32.2141227722168, 71.02703094482422, -160.68231201171875, -9.411181449890137, -0.9174640774726868, 2.8957648277282715, -3.0354344844818115, 7.366996765136719, -28.443387985229492, 
15, 1255465548, -33.117393493652344, 70.94522094726562, -161.53659057617188, -9.480053901672363, -0.8817728757858276, 2.9547688961029053, -4.7457499504089355, 6.855350971221924, -25.410778045654297, 
16, 1255482215, -33.82988357543945, 70.88626861572266, -162.14956665039062, -9.541958808898926, -0.9248306155204773, 3.002420663833618, -7.141423225402832, 5.7716593742370605, -20.742034912109375, 
17, 1255498882, -34.39470291137695, 70.84513092041016, -162.57469177246094, -9.502543449401855, -1.1053919792175293, 2.9842782020568848, -9.16363525390625, 4.857295036315918, -16.99242401123047, 
18, 1255515549, -34.79609680175781, 70.82949829101562, -162.83351135253906, -9.36780071258545, -1.1912963390350342, 2.9182331562042236, -8.702422142028809, 4.4442362785339355, -13.088972091674805, 
19, 1255532216, -35.07554626464844, 70.84547424316406, -162.97821044921875, -9.20967960357666, -1.2212737798690796, 2.8194944858551025, -7.831151008605957, 4.763830184936523, -9.690363883972168, 
20, 1255548883, -35.288997650146484, 70.89295959472656, -163.06553649902344, -9.26220417022705, -1.3147733211517334, 2.725590705871582, -7.514744281768799, 5.524539947509766, -7.0744099617004395, 
21, 1255565550, -35.48737335205078, 70.95230102539062, -163.12506103515625, -9.397440910339355, -1.4130374193191528, 2.586707830429077, -7.886652946472168, 5.665538311004639, -5.774578094482422, 
22, 1255582217, -35.71442794799805, 71.01344299316406, -163.18589782714844, -9.388744354248047, -1.4164820909500122, 2.433223247528076, -9.089861869812012, 5.532787322998047, -5.317493438720703, 
23, 1255598884, -35.98346710205078, 71.07161712646484, -163.28758239746094, -9.218002319335938, -1.4946120977401733, 2.343254327774048, -9.281176567077637, 5.464453220367432, -5.597440719604492, 
