PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Unnamed: 11
0,1255215543,0.0,0.0,0.0, 
1,1255232210,-8.874123573,-0.679626524,2.768367767, 
2,1255248877,-8.873473167,-0.6139732,2.761705875, 
3,1255265544,-8.834931374,-0.518205583,2.797576189, 
4,1255282211,-8.921975136,-0.508252025,2.836314678, 
5,1255298878,-8.999269485,-0.533705711,2.816626549, 
6,1255315545,-9.107514381,-0.6135536429999999,2.853754997, 
7,1255332212,-9.238413811000001,-0.62760812,2.94905591, 
8,1255348879,-9.315173149,-0.664987206,3.0244174, 
9,1255365546,-9.2879076,-0.784249663,2.9522790910000003, 
10,1255382213,-9.356492043,-0.9180244209999999,2.9159615039999998, 
11,1255398880,-9.4090662,-1.1003813740000001,2.840000868, 
12,1255415547,-9.492028236,-1.15633142,2.849095583, 
13,1255432214,-9.486642838,-0.9685679079999999,2.856375217, 
14,1255448881,-9.41118145,-0.917464077,2.895764828, 
15,1255465548,-9.480053902,-0.881772876,2.954768896, 
16,1255482215,-9.541958809,-0.9248306159999999,3.0024206639999997, 
17,1255498882,-9.502543449,-1.105391979,2.984278202, 
18,1255515549,-9.367800713,-1.191296339,2.9182331560000003, 
19,1255532216,-9.209679604,-1.22127378,2.8194944860000004, 
20,1255548883,-9.26220417,-1.3147733209999999,2.725590706, 
21,1255565550,-9.39744091,-1.4130374190000001,2.58670783, 
22,1255582217,-9.388744354,-1.416482091,2.433223248, 
23,1255598884,-9.218002319,-1.4946120980000002,2.343254328, 
24,1255615551,-9.025524139,-1.503804088,2.305296421, 
25,1255632218,-8.9522295,-1.2877706290000002,2.270295382, 
26,1255648885,-8.910707474,-1.106283188,2.2904675009999997, 
27,1255665552,-9.00732708,-1.08169651,2.3074135780000002, 
28,1255682219,-9.202269553999999,-1.194890857,2.27965188, 
29,1255698886,-9.394330978,-1.2628812790000001,2.348522425, 
30,1255715553,-9.581329346,-1.164235592,2.463665247, 
31,1255732220,-9.717392921,-1.043125033,2.545585871, 
32,1255748887,-9.74269104,-1.159273505,2.602757215, 
33,1255765554,-9.820854187,-1.325475097,2.635091305, 
34,1255782221,-9.872433662,-1.4866033790000002,2.605512381, 
35,1255798888,-9.874031067,-1.6238636969999998,2.561533451, 
36,1255815555,-9.79417038,-1.679305315,2.435746193, 
37,1255832222,-9.682277679,-1.8313010930000002,2.2834062580000003, 
38,1255848889,-9.642106056,-2.050971508,2.101383924, 
39,1255865556,-9.6283741,-2.301100969,1.96160686, 
40,1255882223,-9.556369781,-2.436258793,1.849617481, 
41,1255898890,-9.431333542,-2.479624748,1.765345454, 
42,1255915557,-9.254405022,-2.508145809,1.649252295, 
43,1255932224,-9.15892601,-2.4789402480000002,1.6266510490000001, 
44,1255948891,-9.090911865,-2.409852743,1.626876354, 
45,1255965558,-9.108563423,-2.3773567680000003,1.689242601, 
46,1255982225,-9.149327278,-2.278923035,1.825347424, 
47,1255998892,-9.151376724,-2.220567226,1.913936615, 
48,1256015559,-9.226408958,-2.046863079,2.05485487, 
49,1256032226,-9.211568832000001,-1.861409664,2.1493990419999998, 
50,1256048893,-9.283227921,-1.660060406,2.319944859, 
51,1256065560,-9.2971735,-1.570350528,2.435545683, 
52,1256082227,-9.296604156,-1.477792859,2.60724926, 
53,1256098894,-9.250766753999999,-1.497730613,2.720008373, 
54,1256115561,-9.245512009,-1.5327631240000001,2.839811802, 
55,1256132228,-9.268593787999999,-1.614396214,2.883728027, 
56,1256148895,-9.261181831,-1.613652825,2.928193331, 
57,1256165562,-9.207645416,-1.49127233,2.9252433780000002, 
58,1256182229,-9.124627112999999,-1.355243325,2.916049957, 
59,1256198896,-9.119188309,-1.2843616009999999,2.869709015, 
60,1256215563,-9.227641106,-1.2631978990000001,2.825106144, 
61,1256232230,-9.331486702000001,-1.27811873,2.82088089, 
62,1256248897,-9.28958416,-1.245267153,2.796091557, 
63,1256265564,-9.183558463999999,-1.254084826,2.7322742939999998, 
64,1256282231,-9.192109108,-1.180521369,2.694669962, 
65,1256298898,-9.24239254,-1.113642097,2.64490366, 
66,1256315565,-9.231343269,-1.112011909,2.62864089, 
67,1256332232,-9.212422371,-1.0798636670000001,2.604550838, 
68,1256348899,-9.211267471000001,-1.043241024,2.560447454, 
69,1256365566,-9.299034119,-1.107560277,2.502231121, 
70,1256382233,-9.390885353,-1.21090579,2.502262354, 
71,1256398900,-9.302830696000001,-1.290979981,2.453446627, 
72,1256415567,-9.246713638,-1.319894075,2.4088027480000003, 
73,1256432234,-9.324363708,-1.397663951,2.341113091, 
74,1256448901,-9.443282127,-1.439763069,2.3381464480000003, 
75,1256465568,-9.490115166,-1.448429108,2.250044346, 
76,1256482235,-9.634625435,-1.418675423,2.145313501, 
77,1256498902,-9.786496162,-1.380609155,2.083408833, 
78,1256515569,-9.916755676000001,-1.3013025520000001,2.047048092, 
79,1256532236,-10.01613617,-1.212618232,1.9467043880000001, 
