PacketCounter,Euler_X,Euler_Y,Euler_Z,Unnamed: 11
0,-44.93981171,38.03062439,-160.4075317, 
1,-44.0060997,39.2791481,-159.6317139, 
2,-42.77147293,40.48071671,-158.3697052, 
3,-42.20108032,41.91030502,-157.3849945, 
4,-42.53214264,43.49816513,-156.5319061, 
5,-43.70480347,45.18115234,-155.8287354, 
6,-45.432956700000005,47.09920883,-155.1894531, 
7,-47.5343895,49.30976868,-154.5107727, 
8,-49.95614624,51.62176895,-153.76091, 
9,-52.52578735,53.896698,-152.91009519999997, 
10,-54.79245758,56.11875916,-151.6921997, 
11,-56.52275085,58.32474899,-149.9564514, 
12,-57.63787842,60.60208893,-147.70559690000002, 
13,-58.21734238,62.95776749,-145.0898438, 
14,-58.20190811,65.34194946,-142.2463226, 
15,-57.42455673,67.5453186,-139.2794189, 
16,-55.9054184,69.38140106,-136.4972382, 
17,-53.73635864,70.78982544,-134.1577606, 
18,-51.20659637,71.76957703,-132.3554382, 
19,-48.82242584,72.38065338,-131.07431029999998, 
20,-46.93746567,72.66333771,-130.1449738, 
21,-45.79567337,72.63754272,-129.4818268, 
22,-45.32175827,72.36365509,-128.8428345, 
23,-45.29022598,71.93904877,-128.01446529999998, 
24,-45.38138962,71.43335724,-126.8133926, 
25,-45.44021606,70.88959503,-125.2265854, 
26,-45.47863007,70.36048126,-123.42169950000002, 
27,-45.46665192,69.93300629,-121.56911470000001, 
28,-45.33724213,69.57968903,-119.8333054, 
29,-45.08676147,69.26599884,-118.44477079999999, 
30,-44.75682449,68.99985504,-117.4277115, 
31,-44.40629196,68.79836273,-116.65027620000001, 
32,-44.01517105,68.64311981,-115.9622803, 
33,-43.62207794,68.52188873,-115.372551, 
34,-43.18199158,68.42449951,-114.8383865, 
35,-42.67468643,68.3629303,-114.27692409999999, 
36,-42.11768723,68.33823395,-113.6212463, 
37,-41.54382324,68.34414673,-112.8592453, 
38,-40.929454799999995,68.36917877,-111.9786453, 
39,-40.32990265,68.41197968,-111.0533142, 
40,-39.78684235,68.46977997,-110.1680908, 
41,-39.25667953,68.52790833,-109.33698270000001, 
42,-38.74227524,68.58470154,-108.60395049999998, 
43,-38.24824142,68.65058136,-107.9696121, 
44,-37.82435989,68.71842194,-107.4295807, 
45,-37.49472809,68.79547119,-106.97726440000001, 
46,-37.17981339,68.88957214,-106.54940800000001, 
47,-36.87511444,68.98871613,-106.16125490000002, 
48,-36.52426529,69.08614349,-105.7607956, 
49,-36.15340805,69.18135071,-105.31720729999999, 
50,-35.80357361,69.28296661,-104.8530273, 
51,-35.47848511,69.38726044,-104.3873291, 
52,-35.1338501,69.48355103,-103.9069214, 
53,-34.77782822,69.56528473,-103.45141600000001, 
54,-34.40087509,69.64916992,-103.04696659999999, 
55,-34.04053116,69.72928619,-102.7168808, 
56,-33.70976639,69.7927475,-102.4310608, 
57,-33.3739624,69.83422852,-102.1213379, 
58,-33.0635376,69.83903503,-101.7989349, 
59,-32.80812836,69.81507874,-101.5055313, 
60,-32.61719131,69.76845551,-101.27448270000001, 
61,-32.48993301,69.70786285,-101.1157303, 
62,-32.37271118,69.64643097,-100.97872159999999, 
63,-32.26453781,69.56681061,-100.82478329999999, 
64,-32.18815994,69.4765625,-100.6614151, 
65,-32.14766693,69.38322449,-100.51303859999999, 
66,-32.12022018,69.2986145,-100.3885574, 
67,-32.10474014,69.21818542,-100.28928379999999, 
68,-32.12007904,69.13195801,-100.2273102, 
69,-32.13260651,69.05857086,-100.1644058, 
70,-32.15162659,69.00045776,-100.0885544, 
71,-32.18564606,68.94626617,-100.00676729999999, 
72,-32.21267319,68.89788055,-99.90229034, 
73,-32.23269272,68.86775970000001,-99.77201843, 
74,-32.25687027,68.87702179,-99.63543701, 
75,-32.2403717,68.92552948,-99.47359467, 
76,-32.14847946,69.01539612,-99.26681519, 
77,-32.00626373,69.15808868,-99.03875732, 
78,-31.81966972,69.36200714,-98.81277466, 
79,-31.59503174,69.61553955,-98.61305237, 
80,-31.303388599999998,69.90666962,-98.41976166, 
81,-30.96098137,70.21961212,-98.22415161, 
82,-30.61711502,70.54920959,-98.03752136, 
83,-30.33460236,70.89349365,-97.89374542, 
84,-30.19796371,71.241745,-97.87229156, 
85,-30.18461037,71.60050201,-97.96260071, 
86,-30.16893578,71.94854736,-98.07596588, 
87,-30.18961716,72.30130768,-98.19894409, 
88,-30.34507561,72.67794037,-98.36334991, 
89,-30.59434319,73.07289124,-98.51674652, 
90,-30.88785744,73.48722076,-98.65974426, 
91,-31.19999123,73.91977692,-98.85745239, 
92,-31.59689903,74.36589813,-99.16091156, 
93,-32.08914948,74.83732605,-99.53426361, 
94,-32.68838882,75.32090759,-99.96186829, 
95,-33.46068573,75.80941772,-100.50576020000001, 
96,-34.47903061,76.28833771,-101.2384949, 
97,-35.63721085,76.80248259999999,-102.17358399999999, 
98,-36.63139725,77.33715057,-103.24543759999999, 
99,-37.39862061,77.85418701,-104.60745240000001, 
100,-37.87199783,78.34570313,-106.3236618, 
101,-37.77487946,78.76351929,-108.16603090000001, 
102,-36.79250336,79.05963135,-109.7569199, 
103,-34.73392868,79.08542633,-110.7492828, 
104,-31.31839561,78.73596191,-110.6857147, 
