PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Unnamed: 11
0,79880621,-44.93981171,38.03062439,-160.4075317, 
1,79897288,-44.0060997,39.2791481,-159.6317139, 
2,79913955,-42.77147293,40.48071671,-158.3697052, 
3,79930622,-42.20108032,41.91030502,-157.3849945, 
4,79947289,-42.53214264,43.49816513,-156.5319061, 
5,79963956,-43.70480347,45.18115234,-155.8287354, 
6,79980623,-45.432956700000005,47.09920883,-155.1894531, 
7,79997290,-47.5343895,49.30976868,-154.5107727, 
8,80013957,-49.95614624,51.62176895,-153.76091, 
9,80030624,-52.52578735,53.896698,-152.91009519999997, 
10,80047291,-54.79245758,56.11875916,-151.6921997, 
11,80063958,-56.52275085,58.32474899,-149.9564514, 
12,80080625,-57.63787842,60.60208893,-147.70559690000002, 
13,80097292,-58.21734238,62.95776749,-145.0898438, 
14,80113959,-58.20190811,65.34194946,-142.2463226, 
15,80130626,-57.42455673,67.5453186,-139.2794189, 
16,80147293,-55.9054184,69.38140106,-136.4972382, 
17,80163960,-53.73635864,70.78982544,-134.1577606, 
18,80180627,-51.20659637,71.76957703,-132.3554382, 
19,80197294,-48.82242584,72.38065338,-131.07431029999998, 
20,80213961,-46.93746567,72.66333771,-130.1449738, 
21,80230628,-45.79567337,72.63754272,-129.4818268, 
22,80247295,-45.32175827,72.36365509,-128.8428345, 
23,80263962,-45.29022598,71.93904877,-128.01446529999998, 
24,80280629,-45.38138962,71.43335724,-126.8133926, 
25,80297296,-45.44021606,70.88959503,-125.2265854, 
26,80313963,-45.47863007,70.36048126,-123.42169950000002, 
27,80330630,-45.46665192,69.93300629,-121.56911470000001, 
28,80347297,-45.33724213,69.57968903,-119.8333054, 
29,80363964,-45.08676147,69.26599884,-118.44477079999999, 
30,80380631,-44.75682449,68.99985504,-117.4277115, 
31,80397298,-44.40629196,68.79836273,-116.65027620000001, 
32,80413965,-44.01517105,68.64311981,-115.9622803, 
33,80430632,-43.62207794,68.52188873,-115.372551, 
34,80447299,-43.18199158,68.42449951,-114.8383865, 
35,80463966,-42.67468643,68.3629303,-114.27692409999999, 
36,80480633,-42.11768723,68.33823395,-113.6212463, 
37,80497300,-41.54382324,68.34414673,-112.8592453, 
38,80513967,-40.929454799999995,68.36917877,-111.9786453, 
39,80530634,-40.32990265,68.41197968,-111.0533142, 
40,80547301,-39.78684235,68.46977997,-110.1680908, 
41,80563968,-39.25667953,68.52790833,-109.33698270000001, 
42,80580635,-38.74227524,68.58470154,-108.60395049999998, 
43,80597302,-38.24824142,68.65058136,-107.9696121, 
44,80613969,-37.82435989,68.71842194,-107.4295807, 
45,80630636,-37.49472809,68.79547119,-106.97726440000001, 
46,80647303,-37.17981339,68.88957214,-106.54940800000001, 
47,80663970,-36.87511444,68.98871613,-106.16125490000002, 
48,80680637,-36.52426529,69.08614349,-105.7607956, 
49,80697304,-36.15340805,69.18135071,-105.31720729999999, 
50,80713971,-35.80357361,69.28296661,-104.8530273, 
51,80730638,-35.47848511,69.38726044,-104.3873291, 
52,80747305,-35.1338501,69.48355103,-103.9069214, 
53,80763972,-34.77782822,69.56528473,-103.45141600000001, 
54,80780639,-34.40087509,69.64916992,-103.04696659999999, 
55,80797306,-34.04053116,69.72928619,-102.7168808, 
56,80813973,-33.70976639,69.7927475,-102.4310608, 
57,80830640,-33.3739624,69.83422852,-102.1213379, 
58,80847307,-33.0635376,69.83903503,-101.7989349, 
59,80863974,-32.80812836,69.81507874,-101.5055313, 
60,80880641,-32.61719131,69.76845551,-101.27448270000001, 
61,80897308,-32.48993301,69.70786285,-101.1157303, 
62,80913975,-32.37271118,69.64643097,-100.97872159999999, 
63,80930642,-32.26453781,69.56681061,-100.82478329999999, 
64,80947309,-32.18815994,69.4765625,-100.6614151, 
65,80963976,-32.14766693,69.38322449,-100.51303859999999, 
66,80980643,-32.12022018,69.2986145,-100.3885574, 
67,80997310,-32.10474014,69.21818542,-100.28928379999999, 
68,81013977,-32.12007904,69.13195801,-100.2273102, 
69,81030644,-32.13260651,69.05857086,-100.1644058, 
70,81047311,-32.15162659,69.00045776,-100.0885544, 
71,81063978,-32.18564606,68.94626617,-100.00676729999999, 
72,81080645,-32.21267319,68.89788055,-99.90229034, 
73,81097312,-32.23269272,68.86775970000001,-99.77201843, 
74,81113979,-32.25687027,68.87702179,-99.63543701, 
75,81130646,-32.2403717,68.92552948,-99.47359467, 
76,81147313,-32.14847946,69.01539612,-99.26681519, 
77,81163980,-32.00626373,69.15808868,-99.03875732, 
78,81180647,-31.81966972,69.36200714,-98.81277466, 
79,81197314,-31.59503174,69.61553955,-98.61305237, 
80,81213981,-31.303388599999998,69.90666962,-98.41976166, 
81,81230648,-30.96098137,70.21961212,-98.22415161, 
82,81247315,-30.61711502,70.54920959,-98.03752136, 
83,81263982,-30.33460236,70.89349365,-97.89374542, 
84,81280649,-30.19796371,71.241745,-97.87229156, 
85,81297316,-30.18461037,71.60050201,-97.96260071, 
86,81313983,-30.16893578,71.94854736,-98.07596588, 
87,81330650,-30.18961716,72.30130768,-98.19894409, 
88,81347317,-30.34507561,72.67794037,-98.36334991, 
89,81363984,-30.59434319,73.07289124,-98.51674652, 
90,81380651,-30.88785744,73.48722076,-98.65974426, 
91,81397318,-31.19999123,73.91977692,-98.85745239, 
92,81413985,-31.59689903,74.36589813,-99.16091156, 
93,81430652,-32.08914948,74.83732605,-99.53426361, 
94,81447319,-32.68838882,75.32090759,-99.96186829, 
95,81463986,-33.46068573,75.80941772,-100.50576020000001, 
96,81480653,-34.47903061,76.28833771,-101.2384949, 
97,81497320,-35.63721085,76.80248259999999,-102.17358399999999, 
98,81513987,-36.63139725,77.33715057,-103.24543759999999, 
99,81530654,-37.39862061,77.85418701,-104.60745240000001, 
100,81547321,-37.87199783,78.34570313,-106.3236618, 
101,81563988,-37.77487946,78.76351929,-108.16603090000001, 
102,81580655,-36.79250336,79.05963135,-109.7569199, 
103,81597322,-34.73392868,79.08542633,-110.7492828, 
104,81613989,-31.31839561,78.73596191,-110.6857147, 
105,81630656,-27.31608772,77.90689087,-110.41236880000001, 
106,81647323,-23.62070274,76.50759125,-110.8167572, 
107,81663990,-20.26499176,74.51017761,-111.81147, 
108,81680657,-17.01220894,71.9152832,-113.17649840000001, 
109,81697324,-13.73872471,68.82619476,-114.6085281, 
110,81713991,-10.73514557,65.30117798,-116.1333923, 
111,81730658,-8.236924171,61.37506866,-118.2929611, 
112,81747325,-6.266912937000001,57.09059906,-121.28078459999999, 
113,81763992,-5.243052006,52.48138428,-125.05854029999999, 
114,81780659,-5.321437359,47.52913284,-129.2102051, 
115,81797326,-6.318605422999999,42.06531906,-133.4913635, 
116,81813993,-7.895386219,35.91322708,-137.394455, 
117,81830660,-10.01958752,29.04922485,-140.5989838, 
118,81847327,-12.64574146,21.52898598,-143.1483917, 
119,81863994,-15.39191151,13.43346596,-145.1553802, 
120,81880661,-17.70826149,4.926674366,-146.9104156, 
121,81897328,-18.87236214,-3.8026711939999998,-148.6074829, 
122,81913995,-19.00066757,-12.66149902,-150.3273773, 
123,81930662,-18.21219635,-21.46396446,-152.2902222, 
124,81947329,-16.43902588,-30.02646446,-154.7190857, 
125,81963996,-13.40113354,-38.09188843,-157.821228, 
126,81980663,-8.901339531,-45.56677628,-161.94438169999998, 
127,81997330,-2.8415071960000002,-52.23542023,-167.4325256, 
128,82013997,4.786817551,-58.14127731,-174.7132416, 
129,82030664,14.46398926,-63.36753845,175.58338930000002, 
130,82047331,27.12613869,-67.55693817,162.5118256, 
131,82063998,43.04999161,-70.19642639,145.42529299999998, 
132,82080665,60.92967987,-70.85816956,125.7628784, 
133,82097332,77.01220703,-69.51802063,108.0348282, 
134,82113999,88.60348511,-66.91876984,95.14451599, 
135,82130666,96.3510437,-63.55323792,86.46248627, 
136,82147333,101.5540771,-59.78982925,80.41001129, 
137,82164000,104.41160579999999,-56.02509689,76.52333069, 
138,82180667,105.7508469,-52.64611435,74.19158173, 
139,82197334,106.06424709999999,-49.59215927,73.12134552, 
140,82214001,105.97915649999999,-46.89442825,72.79267883, 
141,82230668,105.81589509999999,-44.64637756,72.6522522, 
142,82247335,105.42220309999999,-42.89331055,72.71090698, 
143,82264002,105.06691740000001,-41.64506149,72.85112, 
144,82280669,104.87015530000001,-40.8732605,72.86710358, 
145,82297336,104.6455765,-40.56630707,72.64433289, 
146,82314003,104.463295,-40.55857086,71.99790192, 
147,82330670,104.18167109999999,-40.95828247,70.99645996, 
148,82347337,104.3938446,-41.73955154,69.87438965, 
149,82364004,105.16491699999999,-42.76099396,69.05635834, 
150,82380671,106.10307309999999,-43.8296814,68.60691833, 
151,82397338,106.59520719999999,-44.75795746,68.35071564, 
152,82414005,106.6436462,-45.48452377,68.24417114, 
153,82430672,106.54328159999999,-46.08740234,68.38770294, 
154,82447339,106.62575530000001,-46.78768921,68.67810822, 
155,82464006,106.96063999999998,-47.833965299999996,69.02494812, 
156,82480673,107.3874969,-49.38605881,69.44809723, 
157,82497340,107.805397,-51.59985352,69.97198486, 
158,82514007,108.05525209999999,-54.46834564,70.60517883, 
159,82530674,107.9123001,-57.97708511,71.46932983, 
160,82547341,107.00764469999999,-62.06129837,72.83818054, 
161,82564008,105.29260249999999,-66.66532898,74.75965118, 
162,82580675,102.5851135,-71.60469818,77.49822235, 
163,82597342,97.54283142,-76.76255798,82.40834808, 
164,82614009,84.9907608,-81.99567413,94.51394653, 
165,82630676,39.03332901,-85.93273163,139.4051819, 
166,82647343,-30.59730721,-83.80663299999999,-152.9298248, 
167,82664010,-52.91740036,-78.15585327,-133.7787018, 
168,82680677,-62.83537292,-71.49069977,-127.58494569999999, 
169,82697344,-68.38396454,-64.57757568,-125.14734650000001, 
170,82714011,-71.51247406,-57.65180206,-123.9894943, 
171,82730678,-73.10376740000001,-50.71146774,-123.36011509999999, 
172,82747345,-73.06838226,-43.63706589,-123.36885829999999, 
