PacketCounter,Gyr_X,Gyr_Y,Gyr_Z,Unnamed: 11
0,0.0,0.0,0.0, 
1,12.263809199999999,-0.726018727,-17.09636307, 
2,5.177547455,0.6100381020000001,-22.47760963, 
3,-1.303010821,2.630488157,-26.36458778, 
4,-4.977266312,4.914534569,-28.2348175, 
5,-9.409168243,6.516964436,-30.41497612, 
6,-13.16219521,7.450582981,-32.92959213, 
7,-14.73860455,8.055751801,-33.52262878, 
8,-14.92427063,7.976594447999999,-32.75324249, 
9,-14.83854866,8.038732528999999,-33.56637955, 
10,-13.79258537,8.166682243,-34.29207993, 
11,-10.71239662,8.521111487999999,-34.33106995, 
12,-6.265688419,8.807599068,-33.55548477, 
13,-3.17517972,8.165710449,-31.12325668, 
14,-3.0354344839999996,7.366996765,-28.44338799, 
15,-4.74574995,6.855350971,-25.41077805, 
16,-7.141423225,5.7716593739999995,-20.74203491, 
17,-9.163635253999999,4.857295036,-16.99242401, 
18,-8.702422142,4.444236279,-13.08897209, 
19,-7.831151009,4.763830185,-9.690363884, 
20,-7.5147442820000006,5.524539947999999,-7.074409962000001, 
21,-7.886652946,5.665538311000001,-5.774578094, 
22,-9.08986187,5.532787322999999,-5.317493439, 
23,-9.281176567000001,5.46445322,-5.59744072, 
24,-7.856276512000001,5.828038216,-6.341950893, 
25,-7.7855997089999995,5.452069759,-6.563898087, 
26,-10.79930687,5.126737595,-7.147612572000001, 
27,-16.69700241,4.097057343,-8.559019089, 
28,-21.83006859,2.6257491109999997,-10.1281147, 
29,-24.1925087,1.357649326,-11.91124058, 
30,-23.15720177,0.367011666,-12.23443508, 
31,-21.13287735,-0.951641858,-10.31175804, 
32,-19.25195503,-2.765112877,-7.063429832000001, 
33,-16.10666275,-4.1654486660000005,-2.759373665, 
34,-10.88732338,-5.4401016239999995,3.0161721710000005, 
35,-4.391722679,-6.858892918,9.26415062, 
36,1.167344809,-8.275240898,15.14737225, 
37,3.350076437,-9.427256584,19.65953064, 
38,4.5006542210000005,-9.954986572000001,22.53554344, 
39,5.935545444,-9.801222801,23.44325066, 
40,7.864506245,-9.291975975,22.69682884, 
41,9.383047104,-8.282741547,20.8431263, 
42,10.29077244,-7.011539936,18.88729286, 
43,10.52812099,-5.047655106000001,16.24649811, 
44,9.692860603,-3.125815392,13.75895596, 
45,7.857384682,-0.897251785,10.46712971, 
46,5.529828547999999,0.95254308,7.393818855, 
47,2.145351887,2.670591593,3.5421149730000003, 
48,-1.173676252,3.987545252,0.718109608, 
49,-5.433505535,4.834763527,-1.534982324, 
50,-9.644439697000001,5.062294006,-2.343946934, 
51,-13.308034900000001,4.979503155,-3.216060877, 
52,-15.59887886,4.545176506000001,-3.2258198260000004, 
53,-16.30639458,3.7755143639999997,-3.105273962, 
54,-14.66832638,3.1299571989999997,-2.873657465, 
55,-10.75097275,2.542900324,-3.029881001, 
56,-5.097337246,1.816497803,-3.206607819, 
57,0.31161052,0.831292212,-2.963479042, 
58,4.5931196210000005,-0.315945476,-2.012210608, 
59,7.175545692000001,-1.22486341,-0.8828058240000001, 
60,8.561052322,-1.797294497,0.076140165, 
61,9.375742912,-2.465914488,0.46947449399999996, 
62,9.420640945,-2.9092831610000003,0.55423969, 
63,8.364795685,-2.8012742999999998,0.016616242, 
64,7.4087371829999995,-2.442004681,-0.38196224, 
65,6.137040615,-2.134882927,-0.672051728, 
66,4.10533905,-2.075230837,-1.1128208640000001, 
67,1.888033628,-1.903843164,-1.2827736140000001, 
68,0.011801049,-1.536877036,-1.086810708, 
69,-0.6794408559999999,-0.9482973809999999,-0.7382860179999999, 
70,-0.057782255,-0.5885415079999999,-0.6223502160000001, 
71,1.721077323,-0.20719392600000003,-0.8979684109999999, 
72,4.391343117,0.925444663,-1.158987641, 
73,6.9195599560000005,1.994262695,-2.1474587919999997, 
74,9.152079582,2.5550022130000003,-3.4045307639999995, 
75,11.28996181,3.5372757910000003,-5.024253845, 
76,12.99171448,5.137009143999999,-6.348932266, 
77,13.58581543,6.616221427999999,-8.072683334, 
78,12.66843224,8.016546249,-9.501527786, 
79,10.7240181,9.6512537,-10.489307400000001, 
80,8.731513977,11.30584812,-11.03891945, 
81,8.475886345,13.148968700000001,-11.02158165, 
82,8.065353394,15.30067062,-10.40874577, 
83,6.342296599999999,17.76057053,-9.801150322, 
84,5.457058907,20.62117767,-9.223023415, 
85,6.689470768,23.3687439,-9.040383339, 
86,8.315950394,25.70884323,-9.727770805, 
87,8.625867844,28.15903664,-10.81438541, 
88,6.462681292999999,31.67104149,-13.15064049, 
89,2.111835003,34.54578781,-15.28577232, 
